Date,SMA_Diff,SP_Diff,Mov
15/4/2014,-0.77151982,19.33007813,U
16/4/2014,-1.22033985,2.539916992,D
17/4/2014,-1.68303978,7.040039063,U
21/4/2014,-2.03213982,7.66003418,U
22/4/2014,-2.17587983,-4.16003418,D
23/4/2014,-2.34609989,3.219970703,D
24/4/2014,-2.44205986,-15.20996094,D
25/4/2014,-2.53487988,6.030029297,D
28/4/2014,-2.66899986,8.899902344,U
29/4/2014,-2.71905983,5.619995117,U
30/4/2014,-2.82661988,-0.269897461,D
1/5/2014,-3.10857975,-2.540039063,U
2/5/2014,-3.25723988,3.520019531,U
5/5/2014,-3.24147992,-16.94006348,D
6/5/2014,-3.20239998,10.48999023,D
7/5/2014,-3.15689994,-2.579956055,D
8/5/2014,-3.24266011,2.849975586,U
9/5/2014,-3.18084019,18.17004395,U
12/5/2014,-3.13138024,0.799926758,U
13/5/2014,-2.9690802,-8.919921875,U
14/5/2014,-2.74510029,-17.68005371,D
15/5/2014,-2.59402024,7.010009766,U
16/5/2014,-2.41410023,7.219970703,U
19/5/2014,-2.29652024,-12.25,D
20/5/2014,-2.35576019,15.20007324,U
21/5/2014,-2.30132019,4.459960938,U
22/5/2014,-2.18468006,8.040039063,U
23/5/2014,-1.98822018,11.38000488,U
27/5/2014,-1.78008015,-2.130004883,D
28/5/2014,-1.65192006,10.25,D
29/5/2014,-1.50922,3.539916992,D
30/5/2014,-1.39654007,1.400024414,D
2/6/2014,-1.3378001,-0.729980469,U
3/6/2014,-1.35870006,3.640014648,D
4/6/2014,-1.32688011,12.57995605,U
5/6/2014,-1.21722008,8.979980469,U
6/6/2014,-0.90226005,1.830078125,D
9/6/2014,-0.66372001,-0.479980469,D
10/6/2014,-0.44713997,-6.900024414,U
11/6/2014,-0.28812004,-13.7800293,D
12/6/2014,-0.10532009,6.050048828,U
13/6/2014,0.16845997,1.619995117,U
16/6/2014,0.50212002,4.209960938,U
17/6/2014,0.78016006,14.98999023,D
18/6/2014,1.01996003,2.5,U
19/6/2014,1.25403999,3.390014648,U
20/6/2014,1.45049992,-0.260009766,U
23/6/2014,1.61757999,-12.63000488,D
24/6/2014,1.71209999,9.550048828,U
25/6/2014,1.82339992,-2.310058594,D
26/6/2014,1.91023991,3.739990234,U
27/6/2014,2.06333984,-0.729980469,U
30/6/2014,2.24917995,13.08996582,D
1/7/2014,2.45562001,1.300048828,D
2/7/2014,2.66686005,10.81994629,D
3/7/2014,2.80531994,-7.789916992,D
7/7/2014,2.89102001,-13.94006348,D
8/7/2014,2.95174,9.119995117,U
9/7/2014,3.06114003,-8.149902344,D
10/7/2014,3.1608799,2.889892578,D
11/7/2014,3.26601993,9.530029297,U
14/7/2014,3.39293995,-3.819946289,D
15/7/2014,3.3079599,8.289916992,D
16/7/2014,3.16065987,-23.44995117,D
17/7/2014,3.01097996,20.09997559,U
18/7/2014,2.85860009,-4.58996582,U
21/7/2014,2.60030014,9.900024414,D
22/7/2014,2.27462013,3.479980469,U
23/7/2014,2.02324013,0.969970703,U
24/7/2014,1.75622025,-9.640014648,U
25/7/2014,1.50412033,0.570068359,U
28/7/2014,1.21680031,-8.960083008,U
29/7/2014,0.93250023,0.119995117,U
30/7/2014,0.6931802,-39.39990234,D
31/7/2014,0.51988014,-5.520019531,U
1/8/2014,0.42480019,13.83996582,U
4/8/2014,0.4488401,-18.7800293,D
5/8/2014,0.51828018,0.030029297,U
6/8/2014,0.62750019,-10.67004395,U
7/8/2014,0.7882003,22.02001953,D
8/8/2014,0.93664032,5.330078125,U
11/8/2014,1.05664028,-3.170043945,U
12/8/2014,1.23940025,12.9699707,U
13/8/2014,1.44942028,8.460083008,U
14/8/2014,1.67966023,-0.119995117,U
15/8/2014,1.87912018,16.67993164,D
18/8/2014,2.06604004,9.859985352,D
19/8/2014,2.23204006,4.91003418,D
20/8/2014,2.35059994,5.859985352,D
21/8/2014,2.45911995,-3.969970703,U
22/8/2014,2.57817986,9.520019531,U
25/8/2014,2.73095978,2.099975586,D
26/8/2014,2.94973984,0.099975586,U
27/8/2014,3.16671986,-3.380004883,U
28/8/2014,3.42535984,6.630004883,U
29/8/2014,3.62201981,-1.08996582,U
2/9/2014,3.85989991,-1.560058594,D
3/9/2014,4.11101978,-3.069946289,U
4/9/2014,4.26795982,10.05993652,D
5/9/2014,4.35595977,-6.169921875,U
8/9/2014,4.50971981,-13.10009766,D
